,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
12310,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12311,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12312,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12313,158876,,Chinese,,58.304,8.4,9,1,0
12314,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12315,117465,,Japanese,,62.392,10,4,1,0
12316,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12317,208891,,Japanese,,59.825,8.667,3,1,0
12318,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12319,82856,,English,,1108.646,8.488,8697,1,0
12320,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12321,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12322,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12323,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12324,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12325,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12326,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12327,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12328,95558,,English,,64.625,8,8,1,0
12329,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12330,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12331,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12332,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12333,158876,,Chinese,,58.304,8.4,9,1,0
12334,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12335,117465,,Japanese,,62.392,10,4,1,0
12336,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12337,208891,,Japanese,,59.825,8.667,3,1,0
12338,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12339,82856,,English,,1108.646,8.488,8697,1,0
12340,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12341,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12342,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12343,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12344,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12345,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12346,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12347,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12348,95558,,English,,64.625,8,8,1,0
12349,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12350,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12351,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12352,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12353,158876,,Chinese,,58.304,8.4,9,1,0
12354,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12355,117465,,Japanese,,62.392,10,4,1,0
12356,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12357,208891,,Japanese,,59.825,8.667,3,1,0
12358,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12359,82856,,English,,1108.646,8.488,8697,1,0
12360,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12361,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12362,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12363,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12364,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12365,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12366,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12367,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12368,95558,,English,,64.625,8,8,1,0
12369,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12370,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12371,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12372,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12373,158876,,Chinese,,58.304,8.4,9,1,0
12374,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12375,117465,,Japanese,,62.392,10,4,1,0
12376,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12377,208891,,Japanese,,59.825,8.667,3,1,0
12378,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12379,82856,,English,,1108.646,8.488,8697,1,0
12380,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12381,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12382,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12383,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12384,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12385,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12386,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12387,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12388,95558,,English,,64.625,8,8,1,0
12389,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12390,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12391,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12392,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12393,158876,,Chinese,,58.304,8.4,9,1,0
12394,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12395,117465,,Japanese,,62.392,10,4,1,0
12396,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12397,208891,,Japanese,,59.825,8.667,3,1,0
12398,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12399,82856,,English,,1108.646,8.488,8697,1,0
12400,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12401,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12402,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12403,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12404,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12405,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12406,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12407,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12408,95558,,English,,64.625,8,8,1,0
12409,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12410,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12411,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12412,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12413,158876,,Chinese,,58.304,8.4,9,1,0
12414,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12415,117465,,Japanese,,62.392,10,4,1,0
12416,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12417,208891,,Japanese,,59.825,8.667,3,1,0
12418,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12419,82856,,English,,1108.646,8.488,8697,1,0
12420,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12421,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12422,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12423,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12424,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12425,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12426,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12427,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12428,95558,,English,,64.625,8,8,1,0
12429,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12430,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12431,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12432,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12433,158876,,Chinese,,58.304,8.4,9,1,0
12434,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12435,117465,,Japanese,,62.392,10,4,1,0
12436,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12437,208891,,Japanese,,59.825,8.667,3,1,0
12438,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12439,82856,,English,,1108.646,8.488,8697,1,0
12440,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12441,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12442,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12443,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12444,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12445,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12446,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12447,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12448,95558,,English,,64.625,8,8,1,0
12449,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12450,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12451,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12452,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
