ttnamettker,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
keniaos|KeniaOs,13700000,2200000,371200,7500,2000
angryreactions|Oneya D’Amelio,25800000,2800000,406200,6200,680
saraecheagaray|sara,7000000,3600000,700700,2000,1000
ana_eusse|Ana Maria,10500000,4400000,665500,2100,560
ani__mel|Melody 🌱,798600,1900000,359700,2700,8500
julianjacob|Julian Jacob,1200000,3800000,496500,2400,1600
averywit|Avery,1000000,5400000,724100,1600,293
buithanhtuyen2003|𝐓𝐮𝐲𝐞̂̀𝐧 𝐗𝐮 𝐓𝐕 💦,1800000,1600000,228800,18500,1900
emilythetrimmer|Emily Mohring,492600,5800000,267900,1700,3100
fabru_blacutt|Fabru,17000000,5300000,544800,1900,642
yoangelolo|Angelo Bahu,1200000,2400000,224300,12200,1500
virginiafonseca|Virginia,30600000,4400000,566400,2300,679
haritsuuu|ハリツ🌿極,1300000,4100000,158100,4900,6400
thekapelariz|The Kapelari Family,1100000,2800000,464200,3500,2100
camavinga|Eduardo Camavinga,1000000,3300000,522300,2500,1600
feezius|feezius,2100000,4000000,525800,2800,654
lights.are.off|LIGHTS ARE OFF,18700000,2900000,292700,6300,2100
benjaminmaissecret|benjamin,174400,7000000,39200,24000,1700
calebrownn|Cale Brown,5000000,2700000,459500,1500,4200
realuser_1|Jrm,1600000,4100000,411500,2500,1700
anas_elshayib|انس الشايب,3600000,4600000,194000,6100,1800
caleb.finn|Ｓｔａｙ　ｈｙｄｒａｔｅｄ　緯俺な,15200000,3500000,691500,2500,428
hi_arvans|arvanss,201400,1300000,320300,1200,15500
theestallion|Megan Thee Stallion,10900000,1900000,499700,4400,2900
rubentuestaok|Ruben Tuesta,12300000,4500000,418300,1100,2600
kingbach|KingBach,26300000,3100000,582200,1800,2000
rdcworld1|Mark Phillips,2800000,1800000,336000,2300,9100
anna..paull|Anna Paul,3000000,2800000,655600,2900,838
drewafualo|Drew Afualo,6800000,2200000,446500,5100,2100
scottkress_|scottkress,2900000,1500000,402700,7400,4100
dixiedamelio|dixie,57200000,4400000,275200,4600,1100
nianaguerrero|Niana Guerrero,30500000,3200000,493000,2700,1700
benoftheweek|ben de almeida,10600000,3500000,512800,3100,722
maiaknight|Maia Knight,8100000,3500000,628800,2500,647
theovon|Theo Von,1400000,2400000,230600,2700,9800
abbieherbert|AbbieHerbert,12200000,4600000,619200,1600,772
yazidoe|YaziDoe,958900,2000000,297400,2800,8400
loewhaley|Laura,1400000,2500000,232000,1200,10600
georgieanthony|georgie munoz,2200000,1800000,294300,3000,9500
.blue_devil|Why Not ? ✧,941900,4800000,486400,1500,1300
ya_gazdanova|Нина Газданова,3400000,3700000,184000,932,8800
piperrockelle|Piperrockelle,9000000,2400000,275400,9300,517
incorrectlyroce|Roce Ordoñez,5000000,3100000,499500,1900,2200
wayeelkaboy10|Wayeelka boy10,852400,3700000,169600,5600,4300
joaoferdnan|João Ferdnan,7400000,2000000,238500,4200,9100
simpleputin|Просто Путин,6000000,3100000,157900,10600,2200
chapaevva|чапаева,1900000,3800000,347700,2900,1700
