S.no,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
1,Stray Kids,6400000,2300000,50200,34200,6400000
2,Khabane lame,17300000,2300000,15200,8700,17300000
3,scarlett,17900000,845800,53900,6300,17900000
4,Addison Rae,22000000,906600,7600,26200,22000000
5,Belinda,14200000,1500000,14500,15300,14200000
6,Wanna🥊,12000000,2000000,20400,4200,12000000
7,The Rock,13100000,1500000,14300,11900,13100000
8,bzrp,16200000,2700000,4200,6900,16200000
9,Landon Barker,11700000,1200000,19100,15200,11700000
10,MrBeast,13000000,1700000,17200,2100,13000000
11,charli d’amelio,15200000,959400,20800,4600,15200000
12,Amaury Guichon,11400000,1500000,7200,11800,11400000
13,Jet,12400000,2200000,3600,6600,12400000
14,Kervo.dolo,5700000,1300000,7900,27600,5700000
15,TT Drama Layla,6100000,1100000,16600,17700,6100000
16,Миша Городецкий 🇺🇦,10800000,680000,5700,22500,10800000
17,domelipa,10400000,1500000,9100,3500,10400000
18,Kylie Jenner,12300000,1900000,5500,2600,12300000
19,enhypen,4300000,1100000,24800,14300,4300000
20,Kimberly Loaiza,8800000,1200000,12100,4300,8800000
21,ramonvitor,9300000,1900000,7300,2400,9300000
22,TOMORROW X TOGETHER,3800000,1100000,27400,9500,3800000
23,emraynea,5100000,1400000,6600,13500,5100000
24,blackpinkofficial,4500000,839600,13900,22200,4500000
25,Mohamed Tarek - محمد طارق,4700000,864200,21900,8000,4700000
26,Zeth,8500000,1700000,2200,6200,8500000
27,Kurt Kunkle,4900000,685900,30100,3300,4900000
28,Josh Godfrey,6400000,587600,12800,16300,6400000
29,JustinFlom,12900000,789200,4500,6200,12900000
30,WILLIE SALIM,8100000,589200,17400,5400,8100000
31,La Rosalia,14200000,1200000,3300,2600,14200000
32,Biro,6400000,760900,6100,14300,6400000
33,Kiệt Ắk Wỷ,5200000,842200,12300,8500,5200000
34,corey,6300000,1400000,2900,7100,6300000
35,Fernanda,6600000,962300,10000,3900,6600000
36,WinnerMax,13800000,1000000,1800,4500,13800000
37,Devan Key,6900000,976200,8600,3700,6900000
38,Yung Gravy 🍯,9500000,1400000,3500,2700,9500000
39,Sisca Kohl,9200000,1100000,6200,1800,9200000
40,Lexi Rivera,7500000,992500,8500,1800,7500000
41,Leithal,7900000,1300000,3800,3200,7900000
42,Meyden,9000000,799500,8000,1600,9000000
43,b.blek,8000000,616700,6400,7400,8000000
44,Mc Pedrinho,8200000,1200000,5000,2000,8200000
45,Jenn Melon,5500000,1400000,3800,4900,5500000
46,NileRed,6000000,1000000,4400,6300,6000000
47,doctor Zhang Xi,7000000,378500,1500,22500,7000000
48,Pongámoslo a Prueba,9300000,1600000,2300,2000,9300000
49,ItsMacDoogle,3900000,685900,10100,13000,3900000
