S.no,Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
393,deiveleonardooficial,1300000,139300,370,14200,1300000
394,vitoou,1000000,179300,3300,10900,1000000
395,twice_tiktok_official,1300000,325500,3700,2500,1300000
396,christilukasiak0,2300000,369300,1800,1200,2300000
397,katiavlogss,3400000,274400,2600,294,3400000
398,nhu_y1203,2600000,239800,4000,205,2600000
399,jidion,1900000,412500,2000,1300,1900000
400,lifeofsal,2400000,166200,1200,5400,2400000
401,nikkietutorials,3200000,498000,1100,538,3200000
402,ivanovik.83,2300000,91500,1100,11100,2300000
403,erictro,5600000,547400,507,330,5600000
404,virginiafonseca,3000000,410900,1200,961,3000000
405,paigetaylor.s,2600000,393300,1900,546,2600000
406,thecoreyb,1500000,194200,755,8300,1500000
407,carolcastromx,3400000,450000,1300,379,3400000
408,ianlucasok,2400000,262900,3300,830,2400000
409,voronina_valeria_,3700000,460400,1100,334,3700000
410,pacodemiguel,1500000,229600,1900,5400,1500000
411,joshrichards,2700000,354000,1900,737,2700000
412,surasak1437,1800000,188500,463,7000,1800000
413,com.yuta0305,1700000,225600,4700,1900,1700000
414,ayutingting,2900000,239200,1500,2100,2900000
415,yahayraosorio,2200000,67700,1100,15700,2200000
416,tina_042,1800000,314000,2000,2400,1800000
417,abosaed49,2100000,169400,3100,3900,2100000
418,theestallion,2100000,277200,2300,2000,2100000
419,musdalifahbasrii,2200000,190200,3400,2600,2200000
420,haileybieber,3500000,342600,1200,845,3500000
421,dialaaljazairi,4000000,113200,3100,2400,4000000
422,chihuahuapeaches,1500000,296700,2000,3600,1500000
423,brunocampos,5400000,360600,626,619,5400000
424,isaac.h.p.karaoke.backup,1300000,265600,3200,3800,1300000
425,rafaelsantos,2500000,398200,1800,645,2500000
426,happytummy_702,2200000,396700,288,2500,2200000
427,gemelasabello2,5000000,376200,478,813,5000000
428,douhalaribiii,4100000,240400,1600,823,4100000
429,itzyofficial,1700000,314600,3000,1600,1700000
430,twinkle.t1ts,3700000,281500,2000,302,3700000
431,murphslife,1800000,279500,2800,2100,1800000
